Edge 	Weight

IST - AAE 	1869.88 
CPH - AAL 	238.28 
PEW - AAN 	1882.33 
DME - AAQ 	1157.85 
CPH - AAR 	147.739 
URC - AAT 	429.914 
PLU - AAX 	316.691 
SAH - AAY 	854.677 
DME - ABA 	3366.28 
ABV - ABB 	318.527 
SYZ - ABD 	430.222 
PHL - ABE 	88.3938 
DFW - ABI 	253.332 
IST - ABJ 	5152.42 
OTZ - ABL 	207.482 
CNS - ABM 	749.625 
DEN - ABQ 	562.663 
MSP - ABR 	412.447 
ASW - ABS 	215.525 
JED - ABT 	299.721 
KAN - ABV 	365.158 
MEL - ABX 	259.344 
ATL - ABY 	234.665 
CPH - ABZ 	928.631 
MEX - ACA 	306.506 
IST - ACC 	4894.57 
SVQ - ACE 	1183.34 
VIE - ACH 	527.941 
GCI - ACI 	41.0918 
BOS - ACK 	146.29 
SVI - ACR 	401.549 
DFW - ACT 	144.083 
SMF - ACV 	332.608 
KWE - ACX 	245.05 
BOS - ACY 	441.009 
MHD - ACZ 	597.687 
TZX - ADA 	592.269 
IST - ADB 	358.571 
JED - ADD 	1412.88 
JED - ADE 	1164.58 
ESB - ADF 	543.183 
ANC - ADK 	1913.27 
KUL - ADL 	5681.83 
ANC - ADQ 	406.017 
THR - ADU 	389.509 
PTY - ADZ 	465.972 
CKG - AEB 	667.76 
GRU - AEP 	1694 
(Ignore Parent of First Airport) - AER 	0 
RIX - AES 	1174.56 
FAI - AET 	291.262 
ATL - AEX 	803.641 
RKV - AEY 	249.405 
AEP - AFA 	914.136 
CGB - AFL 	643.432 
THR - AFZ 	568.012 
CMN - AGA 	379.595 
MRS - AGB 	708.379 
DCM - AGF 	152.548 
ARN - AGH 	477.92 
JNU - AGN 	94.6727 
IST - AGP 	2901.28 
VNS - AGR 	523.672 
DCA - AGS 	753.03 
GRU - AGT 	876.28 
MTY - AGU 	505.684 
COK - AGX 	468.04 
JED - AHB 	529.156 
PPT - AHE 	498.975 
BNA - AHN 	389.401 
FCO - AHO 	354.821 
CMN - AHU 	399.019 
DEN - AIA 	289.834 
BRW - AIN 	137.45 
RAR - AIT 	263.769 
RAR - AIU 	222.916 
OLB - AJA 	128.607 
RUH - AJF 	843.911 
ESB - AJI 	856.953 
GAU - AJL 	272.61 
LYC - AJR 	118.859 
REC - AJU 	395.418 
BEN - AKF 	929.54 
NGO - AKJ 	1093 
ADQ - AKK 	135.668 
BKK - AKL 	9555.38 
ANC - AKN 	462.851 
FAI - AKP 	407.155 
URC - AKU 	657.14 
YPX - AKV 	97.6092 
SCO - AKX 	847.159 
RGN - AKY 	496.762 
TAS - ALA 	678.938 
BOS - ALB 	232.988 
FCO - ALC 	1156.12 
TOS - ALF 	173.762 
IST - ALG 	2256.52 
PER - ALH 	375.095 
ORD - ALO 	375.417 
DEN - ALS 	289.076 
SEA - ALW 	341.187 
MDW - AMA 	1414.21 
SHJ - AMD 	1752.77 
ADD - AMH 	352.87 
TLV - AMM 	109.315 
UPG - AMQ 	958.099 
PRG - AMS 	705.008 
SEA - ANC 	2325.64 
IQQ - ANF 	324.641 
FSC - ANG 	854.614 
ANC - ANI 	510.075 
WMN - ANM 	83.4343 
LCY - ANR 	307.899 
LIM - ANS 	448.943 
FRA - ANU 	7160.81 
HCR - ANV 	55.2887 
TOS - ANX 	116.505 
BRU - AOE 	2360.18 
PEK - AOG 	541.336 
FCO - AOI 	221.81 
CTS - AOJ 	241.605 
ATH - AOK 	399.596 
IAD - AOO 	167.558 
KUL - AOR 	409.646 
MIA - APF 	153.702 
